LAST UPDATED 22 OCTOBER 2023,,,,MADE BY @ MYFANTASYHOOPS,,,,,,CLICK HERE TO GO TO MY TWITTER TO GET NOTIFIED WHEN I MAKE CHANGES/UPDATES,,,,,,,,"I've recently made a weekly H2H Matchup/Schedule Analyser free tool, DM me on twitter for the link - MyFantasyHoops :)"
,,,,,,,,,,,,,,,,,,
PLAYER NAME:,Tyrese Haliburton,<- Insert Player Name Here,,,,,,,,,,,,,,,,
,,,,,"NOTE: If a cell is empty, it means the website does not project this data",,,,,,,,,,,,,
PLATFORM,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,THERES MORE SEARCH BOXES BELOW 
ESPN,7,,"35,7","0,482","0,86","18,7","2,6","3,9","9,4","1,7","0,6","2,6","6,8",14,"2,6",3,$72,
FANTASY PROS,,74,"35,2","0,481","0,867","20,6","2,8","3,9","10,3","1,6","0,5","2,9",,,,,,
HASHTAG BASKETBALL,4,73,"34,7","0,488","0,857","23,3","2,8",4,"10,5","1,7","0,4","2,6",9,"18,4","2,6",3,$52,
RAZZBALL,6,,,"0,490","0,860","21,7",3,"3,9","10,1","1,5","0,5","2,6","7,7","15,7","3,3","3,8",,
FANTAZSCORES,,67,,"0,493","0,854","21,2","2,9","4,2","10,1","1,7","0,6","2,7","7,4",15,"3,5","4,1",,
FANTRAX,9,,,"0,489","0,848","19,3","2,6","3,6","10,1","1,6","0,5","2,5",,,,,,
HOOPDEX,8,68,34,"0,47","0,86",21,"2,9","3,5","10,5","1,5","0,4","2,5","7,3","15,5","3,3","3,8",,
FANTASY BBALL INTERNATIONAL,4,,,,,,,,,,,,,,,,,
YAHOO,6,,,,,,,,,,,,,,,,$57,
CARUSO RANK,13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AVERAGES,6,71,"34,9","0,485","0,858","20,8","2,8","3,9","10,1","1,6","0,5","2,6","7,6","15,7","3,1","3,5",$60,
2022-23 STATS,10,56,"33,6","0,490","0,865","20,7","2,9","3,7","10,4","1,6","0,4","2,5","7,4","15,0","3,1","3,6",,
,,,,,,,,,,,,,,,,,,
"DUE TO HIGH DEMAND I'VE ADDED A SECOND SEARCH AREA BELOW, SO 2 USERS CAN SEARCH AT THE SAME TIME:",,,,,,,,,,,,,,,,,,
PLAYER NAME:,Damian Lillard,<- Insert Player Name Here,,,,,,,,,,,,,,,,
,,,,,"NOTE: If a cell is empty, it means the website does not project this data",,,,,,,,,,,,,
PLATFORM,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,
ESPN,19,,"33,4","0,451","0,913","27,8","3,7","4,2","6,8","0,8","0,3","2,9","8,4","18,7","7,2","7,9",$64,
FANTASY PROS,,72,"35,6","0,465","0,899","28,8",4,"4,3","7,1","0,9","0,3",3,,,,,,
HASHTAG BASKETBALL,8,67,"35,6","0,461","0,903","27,2","3,8",4,"6,9","0,9","0,3","3,1","8,2","17,8","7,1","7,8",$50,
RAZZBALL,11,,,"0,450","0,900","29,6","3,9","4,4","7,3","0,8","0,3","3,1","8,9","19,7","7,9","8,8",,
FANTAZSCORES,,65,,"0,453","0,893","29,3","3,8","3,7",7,1,"0,3","2,7","8,6",19,"8,3","9,3",,
FANTRAX,14,,,"0,457","0,916","31,4","4,2","4,7","7,4","0,9","0,3","3,3",,,,,,
HOOPDEX,13,64,36,"0,45","0,9","29,1",4,"4,7","7,5","0,9","0,3","3,3","8,9","19,9","7,3","8,2",,
FANTASY BBALL INTERNATIONAL,10,,,,,,,,,,,,,,,,,
YAHOO,11,,,,,,,,,,,,,,,,$52,
CARUSO RANK,16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AVERAGES,12,67,"35,2","0,455","0,903","29,0","3,9","4,3","7,1","0,9","0,3","3,1","8,6","19,0","7,6","8,4",$55,
2022-23 STATS,5,58,"36,3","0,463","0,914","32,2","4,2","4,8","7,3","0,9","0,3","3,3","9,6","20,7","8,8","9,6",,
"DUE TO EVEN HIGHER DEMAND I'VE ADDED A THIRD SEARCH AREA BELOW, SO 3 USERS CAN SEARCH AT THE SAME TIME:",,,,,,,,,,,,,,,,,,
PLAYER NAME:,Tyrese Maxey,<- Insert Player Name Here,,,,,,,,,,,,,,,,
,,,,,"NOTE: If a cell is empty, it means the website does not project this data",,,,,,,,,,,,,
PLATFORM,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,
ESPN,46,,"35,2","0,481","0,854","23,4","2,8","3,2",4,"0,8","0,3","1,3","8,3","17,2",4,"4,7",$15,
FANTASY PROS,,73,"34,7","0,476","0,846","21,6","2,7","3,2","4,6","0,8","0,2","1,5",,,,,,
HASHTAG BASKETBALL,45,70,"34,2","0,485","0,857","21,5","2,9","3,3","4,4","0,8","0,3","1,3","7,8",16,"3,1","3,6",$22,
RAZZBALL,61,,,"0,480","0,850","21,9","2,9",3,"3,8","0,8","0,2","1,5","7,8","16,3","3,3","3,9",,
FANTAZSCORES,,67,,"0,481","0,841","21,7","2,8","3,1","4,5","0,9","0,2","1,6","7,6","15,8","3,7","4,4",,
FANTRAX,56,,,"0,475","0,86","20,1","2,7","3,3","3,5","0,9","0,2","1,3",,,,,,
HOOPDEX,73,70,34,"0,48","0,9",21,"2,8",3,"3,6","0,8","0,1","1,3","7,5","15,7","3,2","3,7",,
FANTASY BBALL INTERNATIONAL,75,,,,,,,,,,,,,,,,,
YAHOO,58,,,,,,,,,,,,,,,,$17,
CARUSO RANK,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AVERAGES,59,70,"34,5","0,480","0,853","21,6","2,8","3,2","4,1","0,8","0,2","1,4","7,8","16,2","3,5","4,1",$18,
2022-23 STATS,86,60,"33,6","0,481","0,845","20,3","2,7","2,9","3,5","0,8","0,1","1,3","7,3","15,2","3,0","3,6",,
"DUE TO EVEN EVEN EVEN HIGHER DEMAND I'VE ADDED A FOURTH SEARCH AREA BELOW, SO 4 USERS CAN SEARCH AT THE SAME TIME:",,,,,,,,,,,,,,,,,,
PLAYER NAME:,,<- Insert Player Name Here,,,,,,,,,,,,,,,,
,,,,,"NOTE: If a cell is empty, it means the website does not project this data",,,,,,,,,,,,,
PLATFORM,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,
ESPN,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,
FANTASY PROS,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,,
HASHTAG BASKETBALL,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,
RAZZBALL,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TOS,FGM,FGA,FTM,FTA,,
FANTAZSCORES,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,
FANTRAX,Rnk,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,,
HOOPDEX,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$,
FANTASY BBALL INTERNATIONAL,RANK,,,,,,,,,,,,,,,,,
YAHOO,RANK,,,,,,,,,,,,,,,,A$,
CARUSO RANK,RANK,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AVERAGES,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
2022-23 STATS,1,66,"34,6","0,548","0,858","33,1","1,0","10,2","4,2","1,0","1,7","3,4","11,0","20,1","10,0","11,7",,